("state", "loss_method", "data_name", "lr", "batch_size", "mshoot_len", "dudt_size", "epoch", "loss_mshoot(trainingData)", "loss_mshoot(validationData)")
("MI", "MSE", "320_415", 0.0005, 4, 2, 48, 200, 9.185981179289115e-6, 6.0753986882196425e-5)
("MI", "MAE", "320_415", 0.0005, 4, 2, 64, 600, 0.0011969371634994025, 0.0041925303477790546)
("MI", "RMSE", "320_415", 5.0e-5, 4, 4, 32, 500, 0.006986167916288277, 0.032915389078729144)
("MI", "RMSE", "320_415", 5.0e-5, 32, 3, 32, 300, 0.008079984482045482, 0.019975612500305863)
("MI", "MSE", "320_415", 5.0e-5, 8, 3, 48, 200, 3.948029939752204e-5, 0.00044697539454495217)
("MI", "MAE", "320_415", 5.0e-5, 16, 2, 48, 500, 0.0017329139767435903, 0.006276819688559495)
("MI", "MAE", "320_415", 0.0005, 32, 3, 64, 300, 0.0024726876986228, 0.011835240821453513)
("MI", "MSE", "320_415", 0.001, 32, 2, 64, 200, 9.696706053334796e-6, 8.28489445385997e-5)
("MI", "MAE", "320_415", 0.0005, 4, 2, 64, 300, 0.0012487184821755321, 0.004348575503242217)
("MI", "MSE", "320_415", 0.0001, 32, 2, 48, 500, 1.2655973310723147e-5, 0.0001374558292279171)
("MN", "RMSE", "30_160", 0.0001, 16, 2, 64, 300, 0.003585280075806207, 0.00383922325988476)
("MN", "RMSE", "350_450", 0.001, 32, 2, 48, 300, 0.0032626379025770934, 0.006738695694229362)
("MN", "MAE", "350_450", 0.0005, 32, 4, 64, 600, 0.004500646062522764, 0.011028384587661394)
("MN", "MSE", "200_300", 0.0001, 32, 2, 64, 600, 1.6886340464841447e-5, 0.00011600867316141927)
("MN", "MSE", "30_160", 0.001, 32, 2, 64, 600, 4.602342689360837e-6, 2.969291335037064e-5)
("MN", "MAE", "350_450", 0.0005, 8, 2, 48, 300, 0.0014940123956972656, 0.0026418676805613156)
("MN", "MAE", "200_300", 0.0005, 16, 3, 32, 200, 0.0035013379486622353, 0.010672264839983896)
("MN", "RMSE", "30_160", 0.0001, 4, 2, 32, 200, 0.003538066599965232, 0.0037472957963174485)
("MN", "MSE", "180_255", 0.0001, 8, 2, 32, 300, 8.451745955118528e-6, 7.19113699488276e-5)
("MN", "RMSE", "500_600", 0.001, 8, 2, 48, 200, 0.0025951276993347043, 0.0049291925730983125)
("MN", "RMSE", "180_255", 0.0005, 8, 4, 64, 600, 0.004551564192182664, 0.05326210045152058)
("MN", "RMSE", "30_160", 0.0001, 16, 2, 64, 600, 0.0032082714544928365, 0.0036924638405025924)
("MN", "RMSE", "180_255", 0.0001, 8, 4, 64, 500, 0.006084108427958664, 0.0221499518981372)
("MN", "MSE", "500_600", 0.001, 32, 4, 64, 600, 3.573987091678976e-5, 0.00027404301860100346)
("MN", "MSE", "180_255", 0.0005, 32, 2, 64, 200, 7.662302424672235e-6, 7.54243777140024e-5)
("MN", "MAE", "350_450", 0.0005, 8, 2, 64, 300, 0.0015056520701251797, 0.003981208054918751)
("MN", "MAE", "200_300", 0.0001, 32, 2, 48, 600, 0.001862440733420791, 0.005370237845340096)
("MN", "RMSE", "350_450", 0.001, 32, 2, 48, 600, 0.003089558612983412, 0.005597107265821514)
("MN", "RMSE", "180_255", 0.001, 32, 4, 32, 600, 0.004907287245858556, 0.023828557782059664)
("MN", "RMSE", "200_300", 0.0005, 4, 2, 32, 200, 0.0030942696794662144, 0.008796422901149577)
("MN", "RMSE", "500_600", 0.0001, 16, 3, 64, 300, 0.004821513538490515, 0.008648273125029029)
("MN", "MAE", "350_450", 0.0005, 8, 2, 64, 600, 0.0014550517638069222, 0.00423629087830194)
("MN", "RMSE", "350_450", 0.001, 32, 2, 48, 200, 0.003324294876696838, 0.006152182507357078)
("MN", "RMSE", "500_600", 0.0005, 4, 2, 64, 500, 0.0023088423428090318, 0.006360765224554135)
