,time_value,doctor-visits_smoothed_adj_cli,indicator-combination_confirmed_7dav_incidence_num,fb-survey_smoothed_cli,fb-survey_smoothed_hh_cmnty_cli,google-symptoms_sum_anosmia_ageusia_smoothed_search,hospital-admissions_smoothed_adj_covid19_from_claims
0,2020-01-01,,,,,,
1,2020-01-02,,,,,,
2,2020-01-03,,,,,,
3,2020-01-04,,,,,,
4,2020-01-05,,,,,,
5,2020-01-06,,,,,,
6,2020-01-07,,,,,,
7,2020-01-08,,,,,,
8,2020-01-09,,,,,,
9,2020-01-10,,,,,,
10,2020-01-11,,,,,,
11,2020-01-12,,,,,,
12,2020-01-13,,,,,,
13,2020-01-14,,,,,,
14,2020-01-15,,,,,,
15,2020-01-16,,,,,,
16,2020-01-17,,,,,,
17,2020-01-18,,,,,,
18,2020-01-19,,,,,,
19,2020-01-20,,,,,,
20,2020-01-21,,,,,,
21,2020-01-22,,,,,,
22,2020-01-23,,,,,,
23,2020-01-24,,,,,,
24,2020-01-25,,,,,,
25,2020-01-26,,,,,,
26,2020-01-27,,,,,,
27,2020-01-28,,,,,,
28,2020-01-29,,,,,,
29,2020-01-30,,,,,,
30,2020-01-31,,,,,,
31,2020-02-01,0.155147,,,,,0.031882
32,2020-02-02,0.154536,,,,,0.032465
33,2020-02-03,0.153999,,,,,0.034814
34,2020-02-04,0.154285,,,,,0.034508
35,2020-02-05,0.15383,,,,,0.034671
36,2020-02-06,0.153452,,,,,0.034596
37,2020-02-07,0.15315,,,,,0.052578
38,2020-02-08,0.153721,,,,,0.070386
39,2020-02-09,0.15531,,,,,0.068494
40,2020-02-10,0.154867,,,,,0.06688
41,2020-02-11,0.156141,,,,,0.059909
42,2020-02-12,0.15554,,,,,0.053656
43,2020-02-13,0.154955,,,,,0.048374
44,2020-02-14,0.15818,,,,,0.044511
45,2020-02-15,0.158205,,,,,0.041282
46,2020-02-16,0.157157,,,,,0.061684
47,2020-02-17,0.156155,,,,,0.06109
48,2020-02-18,0.157061,,,,,0.057245
49,2020-02-19,0.156029,,,,,0.05234
50,2020-02-20,0.155104,0.14285714285714,,,0.11,0.047835
51,2020-02-21,0.155242,0.57142857142857,,,0.11142857142857143,0.045534
52,2020-02-22,0.155369,0.57142857142857,,,0.11,0.04341
53,2020-02-23,0.154615,0.57142857142857,,,0.10857142857142857,0.066735
54,2020-02-24,0.153978,0.71428571428571,,,0.10714285714285714,0.066467
55,2020-02-25,0.154435,0.57142857142857,,,0.10571428571428572,0.060695
56,2020-02-26,0.159383,0.85714285714286,,,0.10571428571428572,0.057539
57,2020-02-27,0.158288,1.0,,,0.11142857142857143,0.054804
58,2020-02-28,0.157212,0.85714285714286,,,0.11,0.05175
59,2020-02-29,0.156188,1.4285714285714,,,0.11142857142857143,0.075346
60,2020-03-01,0.15525,1.4285714285714,,,0.11142857142857143,0.072845
61,2020-03-02,0.154422,2.4285714285714,,,0.11285714285714285,0.066476
62,2020-03-03,0.154745,3.0,,,0.11142857142857142,0.136131
63,2020-03-04,0.157207,4.7142857142857,,,0.10999999999999999,0.119669
64,2020-03-05,0.157234,6.5714285714286,,,0.10571428571428572,0.103478
65,2020-03-06,0.157202,8.7142857142857,,,0.10857142857142857,0.089056
66,2020-03-07,0.156195,10.857142857143,,,0.10857142857142857,0.099597
67,2020-03-08,0.157495,12.571428571429,,,0.10714285714285714,0.089958
68,2020-03-09,0.16057,20.428571428571,,,0.10714285714285714,0.083362
69,2020-03-10,0.16734,23.714285714286,,,0.10714285714285714,0.071554
70,2020-03-11,0.168441,29.857142857143,,,0.10999999999999999,0.142004
71,2020-03-12,0.175013,31.571428571429,,,0.10857142857142857,0.152249
72,2020-03-13,0.182903,43.714285714286,,,0.10571428571428572,0.134845
73,2020-03-14,0.251109,55.0,,,0.11,0.177268
74,2020-03-15,0.4059,70.0,,,0.11571428571428573,0.162408
75,2020-03-16,0.58705,78.0,,,0.11857142857142858,0.20961
76,2020-03-17,0.650794,100.28571428571,,,0.12571428571428572,0.271224
77,2020-03-18,0.74007,118.42857142857,,,0.1385714285714286,0.39514
78,2020-03-19,0.989449,144.85714285714,,,0.15,0.551816
79,2020-03-20,1.164604,170.14285714286,,,0.1657142857142857,0.613585
80,2020-03-21,1.431943,185.71428571429,,,0.1985714285714286,0.690936
81,2020-03-22,1.441532,212.0,,,0.33428571428571424,0.859594
82,2020-03-23,1.554358,263.85714285714,,,0.5771428571428572,0.895085
83,2020-03-24,1.544219,295.28571428571,,,0.7,1.059372
84,2020-03-25,1.620433,344.42857142857,,,0.7699999999999999,1.057769
85,2020-03-26,1.681309,435.71428571429,,,0.8271428571428572,1.126499
86,2020-03-27,1.894972,518.42857142857,,,0.8742857142857143,1.055515
87,2020-03-28,2.020657,607.71428571429,,,0.9114285714285714,1.061749
88,2020-03-29,2.157564,657.42857142857,,,0.8271428571428572,1.419825
89,2020-03-30,2.108465,722.28571428571,,,0.63,1.593526
90,2020-03-31,2.106543,832.14285714286,,,0.5414285714285715,2.399932
